cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column
436135,6,164806.79+272658.8_436135_0.01,149.59586284362507,1.9562206511302702,0.5309000015258789,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.59584,1.956238,0.10322691086222376,0.5303999781608582,-0.000500023365020752,True,814273,4.5,RAJ2000,DEJ2000,z
436135,6,164806.79+272658.8_436135_0.01,149.59586284362507,1.9562206511302702,0.5309000015258789,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.59587,1.9562353,0.05868589760747954,0.5309,-1.5258788677030566e-09,True,814273,4.5,RAJ2000,DEJ2000,zsp
553219,1,161608.39+514721.0_553219_0.0003,150.52320900171847,2.1416529328739426,0.5717999935150146,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.523209,2.141641,0.0429583466401369,0.5713000297546387,-0.0004999637603759766,True,822785,3.5,RAJ2000,DEJ2000,z
553219,1,161608.39+514721.0_553219_0.0003,150.52320900171847,2.1416529328739426,0.5717999935150146,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.52324,2.1416731,0.13306685508072705,nan,nan,,,,RAJ2000,DEJ2000,zsp
547577,6,080731.96+262600.9_547577_0.1,150.01547727015912,2.133973054945459,0.9549999833106995,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.01547,2.1339617,0.04852884321410158,nan,nan,,,,RAJ2000,DEJ2000,zsp
554694,1,080719.65+203248.1_554694_0.001,149.7179812868329,2.1434932635949497,0.6977999806404114,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.717987,2.143481,0.04869861703214463,0.6972000002861023,-0.000599980354309082,True,826784,3.5,RAJ2000,DEJ2000,z
554694,1,080719.65+203248.1_554694_0.001,149.7179812868329,2.1434932635949497,0.6977999806404114,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.71799,2.1434932,0.03134628949557149,nan,nan,,,,RAJ2000,DEJ2000,zsp
463262,2,154042.89+323307.2_463262_0.0003,150.75065616862616,2.0014599522706056,0.9259999990463257,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.75066,2.0014367,0.08483555699024789,nan,nan,,,,RAJ2000,DEJ2000,zsp
465221,8,083434.48+073900.2_465221_0.1,149.8123648011061,2.005023958305963,1.0255000591278076,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.81239,2.0049968,0.13333520202351215,nan,nan,,,,RAJ2000,DEJ2000,zsp
556070,2,084136.18+541047.1_556070_0.01,150.06761362468706,2.1468798578202937,3.0118000507354736,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.06761,2.1467957,0.30324863712693356,nan,nan,,,,RAJ2000,DEJ2000,zsp
585406,1,075853.87+484043.0_585406_0.1,150.6977173954686,2.1903091606157252,0.7487999796867371,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.697708,2.190317,0.044032258347371976,0.748199999332428,-0.000599980354309082,True,821925,3.5,RAJ2000,DEJ2000,z
585406,1,075853.87+484043.0_585406_0.1,150.6977173954686,2.1903091606157252,0.7487999796867371,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.69772,2.1903055,0.01616948434529362,nan,nan,,,,RAJ2000,DEJ2000,zsp
581920,1,081629.74+534111.6_581920_0.003,150.23722019549945,2.1839776213951083,0.6963000297546387,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.237198,2.183977,0.07987708781406293,0.6956999897956848,-0.0006000399589538574,True,824168,3.5,RAJ2000,DEJ2000,z
581920,1,081629.74+534111.6_581920_0.003,150.23722019549945,2.1839776213951083,0.6963000297546387,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.23721,2.1839921,0.06373395598877557,nan,nan,,,,RAJ2000,DEJ2000,zsp
579089,1,084537.01+102648.1_579089_0.01,149.91728307970152,2.180151491254679,0.3578000068664551,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.917282,2.180153,0.0066773748411236514,0.3573000133037567,-0.0004999935626983643,True,825781,4.5,RAJ2000,DEJ2000,z
579089,1,084537.01+102648.1_579089_0.01,149.91728307970152,2.180151491254679,0.3578000068664551,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.9173,2.1801431,0.06795283360064062,0.3578,-6.866455071197208e-09,True,825781,4.5,RAJ2000,DEJ2000,zsp
580433,4,135641.46+040436.4_580433_0.003,150.07236741494893,2.182998519419234,0.9869999885559082,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.07237,2.1829941,0.01842836431839978,nan,nan,,,,RAJ2000,DEJ2000,zsp
588738,1,155650.41+394542.8_588738_0.1,150.03380188988305,2.1950547975474928,0.9409999847412109,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.0338,2.1950655,0.03912405201634224,nan,nan,,,,RAJ2000,DEJ2000,zsp
470110,3,082905.01+571541.6_470110_0.0001,149.61405048806543,2.01123232758984,0.3407999873161316,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.614044,2.011223,0.04089560030237894,0.34040001034736633,-0.0003999769687652588,True,820547,4.5,RAJ2000,DEJ2000,z
470110,3,082905.01+571541.6_470110_0.0001,149.61405048806543,2.01123232758984,0.3407999873161316,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.61407,2.0112178,0.08753979715938458,0.3408,1.2683868400031884e-08,True,820547,4.5,RAJ2000,DEJ2000,zsp
472071,4,171528.14+542509.0_472071_0.01,149.58438919390142,2.0159106052088682,0.2551000118255615,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.584381,2.015888,0.08655379376845708,0.2547000050544739,-0.0004000067710876465,True,820682,3.5,RAJ2000,DEJ2000,z
472071,4,171528.14+542509.0_472071_0.01,149.58438919390142,2.0159106052088682,0.2551000118255615,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.5844,2.0158944,0.07010634361363523,0.2551,-1.182556153001002e-08,True,820682,3.5,RAJ2000,DEJ2000,zsp
449064,2,150534.83+070200.6_449064_0.03,149.76266436794492,1.9787515740142214,0.6901000142097473,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.76265,1.978742,0.06213035431127611,0.6894999742507935,-0.0006000399589538574,True,819955,4.5,RAJ2000,DEJ2000,z
