cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column,best_match
297135,1,160211.49+141053.4_297135_0.01,150.59604961752103,1.736924713690335,0.27250000834465027,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.596054,1.736948,0.08530106330254383,0.2721000015735626,-0.0004000067710876465,True,803694,3.5,RAJ2000,DEJ2000,z,True
297417,1,145729.62+042655.7_297417_0.03,149.79354182916356,1.7383807148894672,1.4154000282287598,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.79355,1.7383853,0.033718063495662164,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
297705,1,094317.59+541705.1_297705_0.03,150.06698057763833,1.739546109412926,2.22979998588562,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.06697,1.739565,0.07793294175031648,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
298010,16,080002.81+440011.4_298010_0.01,150.0728093861627,1.7361265216763444,0.8364999890327454,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.072815,1.736137,0.042790283361841416,0.8359000086784363,-0.000599980354309082,True,805845,3.5,RAJ2000,DEJ2000,z,True
298494,2,032536.90-005328.4_298494_1,150.3697840985232,1.7395729710076293,0.4156000018119812,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.3698,1.7395788,0.06094546969045205,0.4156,-1.8119811762140614e-09,True,804487,4.5,RAJ2000,DEJ2000,zsp,True
300646,1,160843.90+071508.6_300646_0.003,150.2769402725414,1.7441159554723835,2.8761000633239746,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.27695,1.7441001,0.0669572711558629,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
301074,5,141130.80+044723.2_301074_0.03,149.99448547875394,1.7449323950456792,2.1375999450683594,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.99451,1.7449716,0.16644939442790338,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
303391,1,153431.44+094205.4_303391_0.1,150.11467903033972,1.7476257852011934,0.3619000017642975,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.11467,1.747639,0.05761148485931565,0.3614000082015991,-0.0004999935626983643,True,805685,3.5,RAJ2000,DEJ2000,z,True
304398,2,093321.12+473915.9_304398_0.1,150.0201598599974,1.749527162370685,1.2723000049591064,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.020142,1.749549,0.10154069391095691,1.2719999551773071,-0.0003000497817993164,True,806092,9.5,RAJ2000,DEJ2000,z,True
304627,1,075626.44+132541.1_304627_0.1,150.2106772558066,1.7481078978613231,0.4731999933719635,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.210663,1.748119,0.06502923274045723,0.47269999980926514,-0.0004999935626983643,True,805171,3.5,RAJ2000,DEJ2000,z,True
