row_index,object_id,ID_COSMOS,COSMOS_ID0,luminosity_bin,log_stellar_mass_truth,recovered_logm,logm16,logm84,residual_log_ratio,residual_errorbar_distance_dex,errorbar_y_min,errorbar_y_max,abs_residual_log_ratio,residual_rank_in_bin
2104,081656.20+035558.7_922277_0.003,922277,922277,42 < L < 43,10.7506,7.585353018915612,6.712801154568233,8.085670020255527,-3.1652469810843886,2.664929979744473,-4.037798845431768,-2.664929979744473,3.1652469810843886,38
4417,161135.07+080755.4_922124_0.003,922124,922124,42 < L < 43,10.1193,6.958733566657728,5.088689432049623,7.564057838462567,-3.1605664333422734,2.5552421615374348,-5.0306105679503785,-2.5552421615374348,3.1605664333422734,39
1738,074732.62+371722.9_922277_0.003,922277,922277,42 < L < 43,10.7506,7.591754134892936,6.528189337957461,8.086652335746736,-3.158845865107065,2.6639476642532647,-4.22241066204254,-2.6639476642532647,3.158845865107065,40
2270,083132.59+521142.6_922124_0.001,922124,922124,42 < L < 43,10.1193,6.962059377908708,5.952819819147755,7.469175339481909,-3.157240622091293,2.6501246605180917,-4.166480180852246,-2.6501246605180917,3.157240622091293,41
2809,092720.73+391853.7_922277_0.003,922277,922277,42 < L < 43,10.7506,7.605583503079838,6.387811216747885,8.130243605634943,-3.145016496920162,2.620356394365057,-4.362788783252116,-2.620356394365057,3.145016496920162,42
2779,092150.22+575615.1_922124_0.001,922124,922124,42 < L < 43,10.1193,6.97599983620144,5.580911059457144,7.503839023195924,-3.1433001637985614,2.6154609768040773,-4.538388940542858,-2.6154609768040773,3.1433001637985614,43
3713,151326.72+035225.6_922277_0.003,922277,922277,42 < L < 43,10.7506,7.61128666199556,6.0676390362616175,8.08544026764008,-3.13931333800444,2.665159732359921,-4.682960963738383,-2.665159732359921,3.13931333800444,44
4363,160840.53+493411.4_922124_0.001,922124,922124,42 < L < 43,10.1193,6.990105813561353,5.671223149673177,7.487155101545122,-3.129194186438648,2.632144898454879,-4.448076850326824,-2.632144898454879,3.129194186438648,45
3612,150321.36+233059.9_922277_0.0003,922277,922277,42 < L < 43,10.7506,7.625895156773396,6.757941767451482,8.234217546827745,-3.1247048432266045,2.5163824531722554,-3.9926582325485187,-2.5163824531722554,3.1247048432266045,46
4069,154723.55+400542.5_717776_0.001,717776,717776,42 < L < 43,9.542,6.423784887724965,5.907864794753912,6.759049931250822,-3.118215112275035,2.7829500687491775,-3.6341352052460882,-2.7829500687491775,3.118215112275035,47
1523,030555.41+002153.1_922277_0.003,922277,922277,42 < L < 43,10.7506,7.646760865629789,6.581128279818323,8.152031641807307,-3.103839134370212,2.598568358192694,-4.1694717201816776,-2.598568358192694,3.103839134370212,48
3108,135750.76-011022.0_922124_0.001,922124,922124,42 < L < 43,10.1193,7.024519593763397,5.727479855221775,7.478745945859883,-3.094780406236604,2.6405540541401185,-4.391820144778226,-2.6405540541401185,3.094780406236604,49
1775,075051.72+245409.3_922277_0.0001,922277,922277,42 < L < 43,10.7506,7.657692382227532,6.701574329294609,8.256132737904343,-3.092907617772468,2.4944672620956574,-4.049025670705391,-2.4944672620956574,3.092907617772468,50
4858,165532.71+423340.7_922277_0.001,922277,922277,42 < L < 43,10.7506,7.66324406810728,6.671417303711553,8.212180370352533,-3.08735593189272,2.5384196296474677,-4.079182696288448,-2.5384196296474677,3.08735593189272,51
2425,084309.86+294404.6_922124_0.001,922124,922124,42 < L < 43,10.1193,7.047176927556645,5.594736635284023,7.713833953063278,-3.072123072443356,2.405466046936723,-4.524563364715979,-2.405466046936723,3.072123072443356,52
3069,134920.41-023537.4_922124_0.001,922124,922124,42 < L < 43,10.1193,7.053866737637604,6.002080506574553,7.5117399935914495,-3.065433262362397,2.6075600064085513,-4.117219493425448,-2.6075600064085513,3.065433262362397,53
4697,163533.45+293850.8_922124_0.001,922124,922124,42 < L < 43,10.1193,7.071700251265705,5.903826974848142,7.536176200496331,-3.047599748734296,2.58312379950367,-4.215473025151859,-2.58312379950367,3.047599748734296,54
