status,chimera_id,row_index,cosmos_id,dr7q_spectrum_id,chimera_redshift,dr7q_redshift,chimera_qso_weight,source_spectrum_path,reason
rejected,105005.63+645655.5_532692_0.001,154,532692,489-51930-28,0.3711000084877014,0.37390000000000007,0.001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/105005.63+645655.5_532692_0.001_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.161422 is outside allowed range
rejected,082935.45+364912.6_518038_0.0003,164,518038,827-52312-145,0.652899980545044,0.6450000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/082935.45+364912.6_518038_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.183977 is outside allowed range
rejected,084746.25+573856.6_506187_0.0003,198,506187,1784-54425-600,0.6643000245094299,0.661,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/084746.25+573856.6_506187_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.110687 is outside allowed range
rejected,094709.46+471049.8_518354_0.0001,307,518354,1005-52703-255,0.8109999895095825,0.8131,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/094709.46+471049.8_518354_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.196746 is outside allowed range
rejected,083222.38+245649.6_477663_0.0003,404,477663,1928-53327-460,0.3328000009059906,0.3289,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/083222.38+245649.6_477663_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.143835 is outside allowed range
rejected,085016.57+593755.8_789792_0.0001,526,789792,1785-54439-440,0.5015000104904175,0.49280000000000007,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/085016.57+593755.8_789792_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.153477 is outside allowed range
rejected,164805.75+245455.6_647235_0.0003,837,647235,1423-53167-12,0.24719999730587006,0.24670000000000003,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/164805.75+245455.6_647235_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.185989 is outside allowed range
rejected,084925.42+290033.4_936379_0.001,968,936379,1588-52965-578,0.47040000557899475,0.48030000000000006,0.001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/084925.42+290033.4_936379_0.001_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.0789365 is outside allowed range
rejected,091706.45+563734.0_936379_0.0003,996,936379,451-51908-438,0.47040000557899475,0.4761000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/091706.45+563734.0_936379_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 0.111586 is outside allowed range
rejected,143730.21+082700.6_820123_0.0001,1153,820123,1813-53903-357,1.1759999990463257,1.1669,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/143730.21+082700.6_820123_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 41.5325 is outside allowed range
