dr7q_plate,dr7q_mjd,dr7q_fiber
1175,52791,344
1175,52791,552
1175,52791,640
1176,52791,171
1176,52791,361
1176,52791,514
1184,52641,107
1184,52641,387
1185,52642,44
1186,52646,341
1186,52646,344
1186,52646,570
1187,52708,474
1187,52708,564
1188,52650,218
1198,52669,100
1198,52669,131
1198,52669,232
1198,52669,286
1198,52669,352
1199,52703,468
1200,52668,120
1200,52668,165
1200,52668,191
1200,52668,514
1200,52668,522
1202,52672,310
1202,52672,349
1203,52669,154
1204,52669,112
1204,52669,473
1204,52669,503
1205,52670,104
1205,52670,131
1205,52670,146
1205,52670,164
1205,52670,349
1205,52670,502
1205,52670,521
1205,52670,524
1206,52670,420
1206,52670,495
1207,52672,7
1207,52672,124
1207,52672,284
1207,52672,300
1207,52672,543
1208,52672,536
1208,52672,549
1209,52674,84
1209,52674,215
1210,52701,18
1210,52701,220
1211,52964,302
1211,52964,537
1211,52964,578
1211,52964,610
1213,52972,452
1213,52972,640
1214,52731,112
1214,52731,119
1214,52731,233
1214,52731,440
1214,52731,468
1214,52731,507
1242,52901,588
1263,52708,116
1263,52708,255
1263,52708,498
1264,52707,154
1264,52707,204
1265,52705,236
1265,52705,444
1266,52709,115
1266,52709,237
1266,52709,409
1266,52709,571
1267,52932,142
1267,52932,307
1267,52932,453
1267,52932,631
1268,52933,111
1268,52933,464
1268,52933,587
1268,52933,640
1269,52937,65
1269,52937,277
1269,52937,309
1269,52937,318
1269,52937,415
1270,52991,12
1270,52991,87
1270,52991,309
1270,52991,425
1271,52974,297
1271,52974,555
1272,52989,19
1272,52989,89
1272,52989,296
1272,52989,409
1272,52989,548
1272,52989,580
1273,52993,170
1273,52993,194
1274,52995,192
1274,52995,385
1291,52735,29
1291,52735,101
1291,52735,150
1291,52735,198
1291,52735,618
1292,52736,41
1292,52736,626
1293,52765,122
1293,52765,567
1293,52765,638
1294,52753,300
1294,52753,306
1295,52934,128
1297,52963,541
1298,52964,97
1298,52964,498
1331,52766,21
1331,52766,249
1332,52781,54
1333,52782,188
1333,52782,232
1333,52782,386
1333,52782,475
1333,52782,477
1333,52782,557
1334,52764,361
1334,52764,579
1335,52824,12
1335,52824,482
1336,52759,246
1336,52759,619
1337,52767,152
1337,52767,485
1338,52765,33
1338,52765,265
1338,52765,585
1339,52767,252
1339,52767,268
1339,52767,299
1339,52767,378
1339,52767,602
1340,52781,58
1340,52781,72
1340,52781,317
1341,52786,25
1341,52786,64
1341,52786,126
1341,52786,131
1341,52786,183
1341,52786,399
1341,52786,629
1342,52793,321
1342,52793,400
1342,52793,568
1343,52790,416
1343,52790,561
1343,52790,567
1351,52790,87
1351,52790,103
1351,52790,390
1351,52790,424
1352,52819,447
1353,53083,38
1353,53083,461
1353,53083,629
1354,52814,28
1354,52814,36
1354,52814,78
1354,52814,314
1354,52814,439
1354,52814,466
1355,52823,218
1355,52823,430
1383,53116,27
1383,53116,69
1383,53116,169
1384,53121,15
1384,53121,148
1384,53121,403
1384,53121,608
1386,53116,210
1386,53116,294
1386,53116,364
1386,53116,402
