cosmos_id,representative_chimera_id,n_chimeras_in_provenance,host_ra_deg,host_dec_deg,host_redshift,service,failure_reason
465395,074408.40+375841.1_465395_0.0003,18,149.55517414798715,2.002056837699967,0.8876000046730042,sdss,no_sdss_match
470997,165259.83+193600.9_470997_0.0001,5,150.2932968780269,2.011508796065754,0.9348000288009644,sdss,no_sdss_match
470997,165259.83+193600.9_470997_0.0001,5,150.2932968780269,2.011508796065754,0.9348000288009644,desi,no_desi_match
465386,145418.58+121053.8_465386_0.01,8,150.2193967148782,2.0065464835627145,3.264899969100952,sdss,no_sdss_match
465386,145418.58+121053.8_465386_0.01,8,150.2193967148782,2.0065464835627145,3.264899969100952,desi,no_desi_match
466493,080045.45+390412.7_466493_0.0001,1,150.1068084555955,2.0053057036077195,0.6761000156402588,sdss,no_sdss_match
466493,080045.45+390412.7_466493_0.0001,1,150.1068084555955,2.0053057036077195,0.6761000156402588,desi,no_desi_match
466958,154022.42+314829.9_466958_0.01,2,150.20507987435056,2.006331234886872,0.6730999946594238,sdss,no_sdss_match
466958,154022.42+314829.9_466958_0.01,2,150.20507987435056,2.006331234886872,0.6730999946594238,desi,no_desi_match
471848,163319.63+141142.0_471848_0.03,23,150.21723019249924,2.016511704976302,4.340000152587891,sdss,no_sdss_match
471848,163319.63+141142.0_471848_0.03,23,150.21723019249924,2.016511704976302,4.340000152587891,desi,no_desi_match
469913,091429.63+500728.4_469913_0.01,7,150.27795331153223,2.011875896794292,0.439300000667572,sdss,no_sdss_match
469913,091429.63+500728.4_469913_0.01,7,150.27795331153223,2.011875896794292,0.439300000667572,desi,no_desi_match
472402,041920.33+075840.6_472402_1,2,150.45073805588473,2.0138817942408536,0.729200005531311,sdss,no_sdss_match
468544,044428.77+122111.7_468544_0.3,6,149.81795829783744,2.0099773709951867,0.09399999678134918,sdss,no_sdss_match
468544,044428.77+122111.7_468544_0.3,6,149.81795829783744,2.0099773709951867,0.09399999678134918,desi,no_desi_match
472584,022559.78-073938.8_472584_0.3,12,149.63567342329983,2.0181239841385987,2.9995999336242676,sdss,no_sdss_match
472584,022559.78-073938.8_472584_0.3,12,149.63567342329983,2.0181239841385987,2.9995999336242676,desi,no_desi_match
472219,152114.44+195339.3_472219_0.3,8,150.05965572416494,2.017142525527282,1.9424999952316284,sdss,no_sdss_match
472219,152114.44+195339.3_472219_0.3,8,150.05965572416494,2.017142525527282,1.9424999952316284,desi,no_desi_match
472871,152655.11+381344.0_472871_0.0001,9,150.18938404291072,2.0180550547331926,2.226599931716919,sdss,no_sdss_match
472871,152655.11+381344.0_472871_0.0001,9,150.18938404291072,2.0180550547331926,2.226599931716919,desi,no_desi_match
450959,032040.77-010127.8_450959_0.1,24,150.2255224727258,1.9826279172875834,1.193600058555603,sdss,no_sdss_match
450959,032040.77-010127.8_450959_0.1,24,150.2255224727258,1.9826279172875834,1.193600058555603,desi,no_desi_match
455545,142715.08+232911.0_455545_0.1,5,150.11749680002418,1.9902762947157446,0.22370000183582306,sdss,no_sdss_match
455545,142715.08+232911.0_455545_0.1,5,150.11749680002418,1.9902762947157446,0.22370000183582306,desi,no_desi_match
453857,085740.73+434627.4_453857_0.0001,32,149.79026034748114,1.988249268054195,0.4781000018119812,sdss,no_sdss_match
